Código;;;Nome;;;Fornecedor;;;;Localidade;Conta;;Nº Documento;;Dependência;;;;Dt. Aquisição;;Vl. Aquisição;Vl. Deprec.;;;;;Vl. Atual;;;;Status;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000042;;;56 - EXTINTOR EXTINTOR CARGA DE AGUA 10 LTS;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000043;;;56 - EXTINTOR EXTINTOR PO QUIMICO 6KG;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000044;;;61 - CAIXA DE COLETA CAIXA DE COLETA 0,20 X 0,30 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000045;;;61 - CAIXA DE COLETA CAIXA DE COLETA 0,20 X 0,30 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000046;;;2 - TRIBUNA  / CRIADO MUDO TRIBUNA DE MADEIRA 0,45X0,92X1,12 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000049;;;7 - MESA MESA 0,75 X 0,50 M - SANTA CEIA -;;;NC;;;;BR 09-0038;1101;;0;;COZINHA;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000050;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO DE MADEIRA 2,50M;;;NC;;;;BR 09-0038;1101;;0;;ATRIO ESQUERDO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
